,big_1
315,0.292845542073253
316,0.097246775150299
317,0.6495407841205614
318,0.0
319,0.8859249973297096
320,0.43867593026161433
321,0.24514356946944682
322,0.6380714311599751
323,0.11434613227843915
324,1.044959313392643
325,0.0719513444900568
326,0.18461179256439353
327,0.40250135898589834
328,0.045804490566260014
329,8.881784197001252e-16
330,0.03183304834366485
331,0.012852225303654485
332,0.4316070952415463
333,0.492804508924485
334,0.10678521788120054
335,0.07224259376526065
336,0.6450896363258376
337,0.04403640913963214
338,0.3127717400789265
339,0.16702376294136
340,0.48295223808288723
341,0.26070502161979836
342,0.19118586397171589
343,2.031517681837079
344,0.1831379266977251
345,0.0011697006225541706
346,0.4008089275360107
347,0.3831813313960999
348,0.11536610615253551
349,0.566836977005007
350,0.6586608514785803
351,0.09665110421180856
352,0.2361109964847583
353,0.151956484198571
354,0.3590066609382676
355,0.0004233989715616282
356,0.6121520349979397
357,0.328404431104661
358,0.005327621459958465
359,0.10731662333011771
360,0.1401769077777828
361,0.7296190148591988
362,0.11632540059088958
363,0.4811502208709686
364,0.22171831989287982
365,1.433111071348192
366,0.4432310478687258
367,2.220446049250313e-15
368,8.881784197001252e-16
369,5.329070518200751e-15
370,0.14471946287154913
371,0.4088787021636964
372,0.023865686416626453
373,0.2686840705871667
374,0.36027963256836104
375,0.7812829657793063
376,0.7177974343299884
377,0.5053881556987747
378,0.20631231117249005
379,0.14752888631820515
380,0.5082341485023494
381,0.11794556689262592
382,0.2453549069166221
383,0.2703122320175142
384,0.8220172491073674
385,0.37761760866641936
386,0.13612940502167437
387,0.9461885380744919
388,0.6914309209585197
389,0.6712717719078061
390,0.28397427535057096
391,0.32248829078674346
392,1.1836035945415464
393,0.4999997749328635
394,0.1044492981433871
395,0.017658039569856676
396,0.08536754512786704
397,0.88810218000412
398,0.17226269328594346
399,0.12569554579258058
400,0.32008297228812843
401,0.2528138146400458
402,0.898384166479115
403,0.5904211927652363
404,0.027192950010298977
405,0.6860696752071411
406,0.7043041405677779
407,0.023867321968077615
408,0.3289796700477574
409,0.26644885826110176
410,0.5874336271285996
411,1.8298165808916105
412,0.3410844259262129
413,0.2973534464836092
414,0.2713338873386357
415,0.8405070376396147
416,1.5543122344752192e-15
417,3.9968028886505635e-15
418,0.04418305182456628
419,0.522698969125748
420,0.16379901075363268
421,0.7411158258914954
422,0.664463430881501
423,0.3827159371375979
424,0.5275698928832959
425,0.2757204389572141
426,0.04148047780990627
427,1.53456109714508
428,0.5758904317617419
429,1.333758206129074
430,1.1762457475662296
431,1.3259775565862655
432,0.9457631767988179
433,1.1677724173068995
434,0.27747188472747997
435,0.3153815882205975
436,0.9001616913080204
437,0.9805024030208584
438,0.9866422810554527
439,4.884981308350689e-15
440,3.9968028886505635e-15
441,0.0
442,9.769962616701378e-15
443,0.7197011342048638
444,0.19869604647159678
445,0.22209846985340054
446,0.8209213867187484
447,0.10607374835014438
448,0.675027330398557
449,0.0702650604248034
450,0.47298758447170464
451,0.9467972908020008
452,1.4094283192157722
453,0.42634213101863705
