,formula,A_Density,B_Density,O_Density,A_dipole Polarizability,B_dipole Polarizability,O_dipole Polarizability,A_covalent Radius,B_covalent Radius,O_covalent Radius,A_atomic Radius,B_atomic Radius,O_atomic Radius,A_FirstIonization,B_FirstIonization,O_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,O_number of Valence Electrons,A_number,B_number,O_number,A_Period,B_Period,O_Period,A_Electronegativity,B_Electronegativity,O_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,O_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,O_number of d Electrons,A_Mulliken EN,B_Mulliken EN,O_Mulliken EN
10,YCoO3,4.47,8.86,0.00143,162.0,55.0,5.3,163,111,63,1.8,1.35,0.6,600.0,760.4,1313.9,3,9,6,39,27,8,5,4,2,1.22,1.88,3.44,2,2,6,1,7,0,3.19,4.3,7.54
11,TmCrO3,9.32,7.15,0.00143,144.0,83.0,5.3,164,122,63,1.75,1.4,0.6,596.7,652.9,1313.9,3,6,6,69,24,8,6,4,2,1.25,1.66,3.44,2,1,6,0,5,0,3.1,3.72,7.54
12,SmFeO3,7.52,7.87,0.00143,192.0,62.0,5.3,172,116,63,1.85,1.4,0.6,544.5,762.5,1313.9,3,8,6,62,26,8,6,4,2,1.17,1.83,3.44,2,2,6,0,6,0,3.1,4.06,7.54
13,NdCoO3,7.01,8.86,0.00143,208.0,55.0,5.3,174,111,63,1.85,1.35,0.6,533.1,760.4,1313.9,3,9,6,60,27,8,6,4,2,1.14,1.88,3.44,2,2,6,0,7,0,3.1,4.3,7.54
14,RbNbO3,1.53,8.57,0.00143,319.8,98.0,5.3,210,147,63,2.35,1.45,0.6,403.0,652.1,1313.9,1,5,6,37,41,8,5,5,2,0.82,1.6,3.44,1,1,6,0,4,0,2.34,4.0,7.54
15,DyInO3,8.55,7.31,0.00143,163.0,65.0,5.3,167,142,63,1.75,1.55,0.6,573.0,558.3,1313.9,3,3,6,66,49,8,6,5,2,1.22,1.78,3.44,2,3,6,0,10,0,3.1,3.1,7.54
16,PmErO3,7.26,9.07,0.00143,200.0,150.0,5.3,173,165,63,1.85,1.75,0.6,540.0,589.3,1313.9,3,3,6,61,68,8,6,6,2,1.13,1.24,3.44,2,2,6,0,0,0,3.1,3.1,7.54
17,HfBeO3,13.3,1.85,0.00143,103.0,37.74,5.3,152,102,63,1.55,1.05,0.6,658.5,899.5,1313.9,4,2,6,72,4,8,6,2,2,1.3,1.57,3.44,2,2,6,2,0,0,3.8,4.9,7.54
18,CsNbO3,1.87,8.57,0.00143,400.9,98.0,5.3,232,147,63,2.6,1.45,0.6,375.7,652.1,1313.9,1,5,6,55,41,8,6,5,2,0.79,1.6,3.44,1,1,6,0,4,0,2.18,4.0,7.54
19,YbGeO3,6.97,5.32,0.00143,139.0,40.0,5.3,170,121,63,1.75,1.25,0.6,603.4,762.0,1313.9,3,4,6,70,32,8,6,4,2,1.1,2.01,3.44,2,4,6,0,0,0,3.1,4.6,7.54
20,CeBeO3,6.77,1.85,0.00143,205.0,37.74,5.3,163,102,63,1.85,1.05,0.6,534.4,899.5,1313.9,3,2,6,58,4,8,6,2,2,1.12,1.57,3.44,2,2,6,1,0,0,3.1,4.9,7.54
21,SnPbO3,11.3,7.29,0.00143,47.0,53.0,5.3,144,140,63,1.8,1.45,0.6,715.6,708.6,1313.9,4,4,6,82,50,8,6,5,2,2.33,1.96,3.44,4,4,6,10,10,0,3.9,4.3,7.54
22,CdSnO3,8.69,7.29,0.00143,46.0,53.0,5.3,136,140,63,1.55,1.45,0.6,867.8,708.6,1313.9,12,4,6,48,50,8,5,5,2,1.69,1.96,3.44,2,4,6,10,10,0,4.33,4.3,7.54
23,MgTiO3,1.74,4.54,0.00143,71.2,100.0,5.3,139,136,63,1.5,1.4,0.6,737.7,658.8,1313.9,2,4,6,12,22,8,3,4,2,1.31,1.54,3.44,2,2,6,0,2,0,3.75,3.45,7.54
24,GaBiO3,9.81,5.91,0.00143,48.0,50.0,5.3,151,124,63,1.6,1.3,0.6,703.0,578.8,1313.9,5,3,6,83,31,8,6,4,2,2.02,1.81,3.44,5,3,6,10,0,0,4.69,3.2,7.54
