,big_1
95,0.19578820431232558
96,0.33283414518833243
97,0.0809770416021327
98,0.026587914824486747
99,0.19609755921363803
100,0.469428104281425
101,0.4264456440210327
102,0.2070398205518713
103,0.5447137235403074
104,0.0872041149139422
105,0.4748335307836551
106,0.09507164812087421
107,0.15955020904540662
108,0.48775240027904676
109,0.6302799038887041
110,0.2994054670333828
111,0.81713319683075
112,0.23386566209793358
113,0.3383664926290513
114,1.0788183441162102
115,0.34571013176441245
116,0.6810987789630869
117,0.025584685087205017
118,0.6783463075161
119,0.18759117960929794
120,0.35922667050361556
121,0.5029166326522847
122,0.09914908790588361
123,0.12845804512500703
124,0.16651548016071427
125,0.678394959688188
126,0.15044667053222538
127,0.29867083489894886
128,0.24550944471359415
129,0.388754190921782
130,0.13583348822593821
131,0.26097416949272256
132,0.35734190297126833
133,0.4690683810710893
134,0.009117124557494805
135,0.09401056265831631
136,0.1641264455318443
137,0.17031387865543568
138,0.14039995598793142
139,0.4812021371126143
140,0.16113613104820024
141,0.7004852069616319
142,0.27800025260448535
143,0.03534556007385259
144,0.014202077805995472
145,0.6356537282466905
146,0.05397114837169803
147,0.5630684208869967
148,0.48239508867264336
149,0.4427447004318221
150,0.5110034712553027
151,0.41113509881496135
152,0.34593441808223657
153,0.2768522105216986
154,0.2818984667062767
155,0.3457625832557696
156,0.2693730002641683
157,0.09132111489772843
158,0.11850593483448124
159,1.0891031830310816
160,0.014684032320975149
161,0.9176567748785003
162,0.07649735069274777
163,0.0806503751277925
164,0.17914786434173458
165,0.26206813454628053
166,0.07239982354641139
167,0.8252819408178342
168,0.10563260078429781
169,0.15679464864730885
170,0.6646015446186126
171,0.07907366454601172
172,0.11664803850650562
173,0.34338638663291565
174,0.3360791361331963
175,0.4245678249597544
176,7.993605777301127e-15
177,0.02951594924926848
178,1.1889282244443886
179,1.6870510736703879
180,0.15746937274932682
181,0.031394340157508305
182,0.09963485372066327
183,0.1822207068204844
184,0.15740726923942483
185,0.10882200586795676
186,0.10034736478328621
187,0.20739317047596217
188,0.6920678128004085
189,0.3300024805068955
190,0.695913515329357
191,0.5237251172065756
192,0.025720250606537265
193,0.1914691312313077
