,formula,A1,A1_ratio,nA1,A2,A2_ratio,nA2,B1,B1_ratio,B2,B2_ratio,X,X_ratio,Ra,Rb,Rx,nA
97,Sm1Er0.8Fe0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Fe,0.19999999999999996,O,3,1.24,0.8410000000000001,1.4,3
98,Sm1Er0.8Nb0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Nb,0.19999999999999996,O,3,1.24,0.8400000000000001,1.4,3
99,Sm1Er0.8Be0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Be,0.19999999999999996,O,3,1.24,0.802,1.4,3
100,Sm1Er0.8Ge0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Ge,0.19999999999999996,O,3,1.24,0.8180000000000001,1.4,3
101,Sm1Er0.8Ti0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Ti,0.19999999999999996,O,3,1.24,0.8330000000000001,1.4,3
102,Sm1Er0.8Ga0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Ga,0.19999999999999996,O,3,1.24,0.8360000000000001,1.4,3
103,Sm1Er0.8Si0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Si,0.19999999999999996,O,3,1.24,0.792,1.4,3
104,Sm1Er0.8Ta0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Ta,0.19999999999999996,O,3,1.24,0.8400000000000001,1.4,3
105,Sm1Er0.8Al0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Al,0.19999999999999996,O,3,1.24,0.8190000000000001,1.4,3
106,Sm1Er0.8B0.2O3,Sm,1,3,Sm,0,3,Er,0.8,B,0.19999999999999996,O,3,1.24,0.766,1.4,3
107,Sm1Er0.8Sb0.2O3,Sm,1,3,Sm,0,3,Er,0.8,Sb,0.19999999999999996,O,3,1.24,0.8320000000000001,1.4,3
108,Sm1Cr0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Cr,0.19999999999999996,O,3,1.24,0.6749999999999999,1.4,3
109,Sm1Co0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Co,0.19999999999999996,O,3,1.24,0.6739999999999999,1.4,3
110,Sm1Fe0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Fe,0.19999999999999996,O,3,1.24,0.6809999999999999,1.4,3
111,Sm1Nb0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Nb,0.19999999999999996,O,3,1.24,0.6799999999999999,1.4,3
112,Sm1In0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,In,0.19999999999999996,O,3,1.24,0.712,1.4,3
113,Sm1Er0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Er,0.19999999999999996,O,3,1.24,0.7299999999999999,1.4,3
114,Sm1Zr0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Zr,0.19999999999999996,O,3,1.24,0.696,1.4,3
115,Sm1Be0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Be,0.19999999999999996,O,3,1.24,0.6419999999999999,1.4,3
